position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Governor,Bruce Dinwiddy,Q4977384,2002,2005,male,1946-02-01,2021-04-01,,Bruce Dinwiddy
Governor,Stuart Jack,Q3318751,2005,2009,male,1949-06-08,,,Stuart Jack
Governor,Duncan Taylor,Q5314627,2010,2013,male,1958-10-17,,Duncan Taylor.jpg,Duncan Taylor (diplomat)
Governor,Helen Kilpatrick,Q16239881,2013-09-06,2018-03-05,female,1958-10-09,,Helen Kilpatrick.jpg,Helen Kilpatrick
Governor,Anwar Choudhury,Q4778017,2018-03-26,2018-09-20,male,1959-06-15,,Anwar choudhury.jpg,Anwar Choudhury
Governor,Martyn Roper,Q56808433,2018-10-29,,male,1965-06-08,,Martyn Roper.jpg,Martyn Roper
Deputy Governor,Franz I. Manderson,Q109772096,2012,,male,,,,
Premier,Truman Bodden,Q7847694,1995-04-26,2000-11-08,male,1945-04-22,,,Truman Bodden
Premier,Kurt Tibbetts,Q3365492,2000-11-15,2001-11-08,male,1954-03-02,,,Kurt Tibbetts
Premier,McKeeva Bush,Q794036,2001-11-08,2005-05-18,male,1955-01-20,,William McKeeva Bush.jpg,McKeeva Bush
Premier,Kurt Tibbetts,Q3365492,2005-05-18,2009-05-27,male,1954-03-02,,,Kurt Tibbetts
Premier,McKeeva Bush,Q794036,2009-05-27,2012-12-18,male,1955-01-20,,William McKeeva Bush.jpg,McKeeva Bush
Premier,Julianna O'Connor-Connolly,Q6307840,2012-12-19,2013-05-29,female,1961,,,Julianna O'Connor-Connolly
Premier,Alden McLaughlin,Q4713562,2013-05-29,2021-04-21,male,1961-09-06,,"Alden McLaughlin, Premier, Cayman Islands.jpg",Alden McLaughlin
Premier,Wayne Panton,Q106622643,2021-04-21,,male,,,,Wayne Panton
Deputy Premier,Christopher Saunders,Q109772110,2021-04-26,,male,,,,
Minister for Border Control & Labour,Christopher Saunders,Q109772110,2021-04-26,,male,,,,
Minister for District Administration & Lands,Julianna O'Connor-Connolly,Q6307840,2021-04-26,,female,1961,,,Julianna O'Connor-Connolly
Minister for Education,Julianna O'Connor-Connolly,Q6307840,2021-04-26,,female,1961,,,Julianna O'Connor-Connolly
Minister for Finance & Economic Development,Christopher Saunders,Q109772110,2021-04-26,,male,,,,
Minister for Financial Services & Commerce,Andre M. Ebanks,Q109772130,2021-04-26,,male,,,,
Minister for Health & Wellness,Sabrina Turner,Q109772066,2021-04-26,,female,,,,
Minister for Home Affairs,Bernie Bush,Q109772121,2021-04-26,,male,,,,
"Minister for Investment, Innovation & Social Development",Andre M. Ebanks,Q109772130,2021-04-26,,male,,,,
"Minister for Planning, Agriculture, Housing, & Infrastructure","Johany S. ""Jay"" Ebanks",Q109772089,2021-04-26,,male,1982,,,
Minister for Sustainability & Climate Resiliency,Wayne Panton,Q106622643,2021-04-26,,male,,,,Wayne Panton
Minister for Tourism & Transport,Kenneth Bryan,Q109772068,2021-04-26,,male,1980-07-12,,,
"Minister for Youth, Sports, Culture & Heritage",Bernie Bush,Q109772121,2021-04-26,,male,,,,
Attorney General,Samuel Bulgin,Q109772063,2003-07,,male,,,,
Speaker of the Parliament,McKeeva Bush,Q794036,2017-05-31,,male,1955-01-20,,William McKeeva Bush.jpg,McKeeva Bush
